name,birthplace,comment
Julian G.,"CA, CA",Best ramen i've ever had! Was almost an hour wait but definitely worth it10/10 Food 10/10 service and 10/10 pricing
Ellie W.,"Danville, CA","Insanely good food, I got the medium spice of the ramen on the special menu and it tasted SO good. One of the best meals I've ever had in San Francisco. We also got the pork buns, oh my god. So incredibly tasty. Very quick service too. And the waiting list to get a seat was much shorter than expected, they got us a table in 10 minutes. Will definitely be going back."
Ma'Shaya P.,"San Francisco, CA","I am usually very picky about going to Ramen places, I prefer to make them myself but this restaurant is absolutely incredible. My Nanna and I went and the food was amazing, freshly hot, not to spicy either. My mother being part of that culture, never finding a Ramen place she liked, truly enjoyed it. The workers there are really nice and professional, we had no problems. This is am amazing place."
Audrey K.,"San Francisco, CA","Definitely my go-to ramen spot in Japan town. I usually get the Tonkotsu DX ultra spicy. The corn, pork belly and chashu are amazing! 10/10"
Ricky K.,"San Francisco, CA","It's time to finally update my review for Marufuku. It's been a good minute since I reviewed this place so now, I can finally give another review about it. I'm so glad I got to come back. When I came, I went inside right when they opened so I actually didn't have to wait in line at all which was very nice. I remember pre-pandemic, you would need to wait hours to even get a seat in this place. Located in the West Wing of Japantown, Marufuku does really well in executing a solid bowl of ramen and I really love the flavors and care that they incorporated into their broths. I love the modern interior as it's very Japanese inspired and it makes you feel like you're in a restaurant in Japan."
Angela K.,"San Francisco, CA",One of my favorite ramen places in the city! The noodles are perfect texture and soup base is always on point. The egg was perfectly soft boiled and the tofu was nicely grilled and flavored.
Nette T.,"San Francisco, CA",I haven't been to Marufuku in a minute so it was good to be back again and update my review. This time I took SO. He normally hates waiting but saw Club Mari next door (that's for another review). I put in my name on the yelp waitlist and instead of being seated in 55 minutes as it stated we were seated in 30. 
Tri D.,"Houston, TX","This is a solid spot for a bowl of ramen. The wait time can be a bit long (30 mins to an hour & 15 mins) but they have an iPad in the front entrance where you can sign up on their waiting list. Since Marufuku is inside the mall, you can wander around and check out some spots while you're killing time. I'll mention that parking isn't the best but you can park around the corner & pay the meter or your other option is the garage parking. "
Cindy B.,"Lompoc, CA","Saw really good reviews on Yelp, so we decided to give Marufuku Ramen a try. This restaurant is located in a shopping mall in Japantown. The restaurant looked modern and nice. The dining area was a bit small and tight; the dining tables were really closed to one another. My family and I came on a Monday around 1-2pm, and they were really busy. We put our name on the waitlist (approx. 45-75 min. for our party of 6), and went around shopping to kill time. They texted us 30 minutes later. Yay, shorter than what we were told! Hehe. "
Fernando F.,"San Francisco, CA",I GET THE HYPE. PERIOD. This rating on Yelp with this high of a rating leads anyone to be skeptical. What are you selling that is THIS GOOD?
Mariana C.,"Point Loma, San Diego, CA","Good service and amazing food! They have a wait list but not too crazy I had to wait just 30min to get in. Staffs are friendly and so polity. To start I we ordered the fried shishito pepper really interested and my entre was the vegetarian ramen. Broth was on point (mild), perfect egg and delicious noodles, make your stomach calm and happy. Delicious experience!"
Vanessa C.,"Rohnert Park, CA","WOW! This has been the best ramen I have ever had in my life. While there is a pretty long wait, there's a lot to do that the wait is not even that bad. We got seated pretty quickly after we received a text that we were off the waitlist. The staff was super nice. We ordered two bowls of tonkotsu and some gyozas (7 pieces). Our food came out super quick!! The broth of the ramen was super rich and my tummy felt so happy after our meal. Definitely recommend coming here if you have the chance"
Sandy A.,"San Jose, CA","Don't be scared away by the long wait. Put yourself in their yelp waitlist and it goes pretty quickly. Service here is excellent, always communicating clearly, checking on customers, very nice. "
Sharon S.,"Philadelphia, PA","We did a SF food adventure and we have to say - Marafuku Ramen is the best ramen we've ever had in the west coast, hands down! Broth is delicious, packed with flavor, and I still haven't found ramen even in the east coast that can top their flavor! Cha shu was the right amount of fatty and was well seasoned. I have nothing bad to say about this place, other than the long wait time. Wait time can be quite long during the weekends, so try to get here early!"
