name,birthplace,comment
Ellie W.,"Danville, CA","Insanely good food, I got the medium spice of the ramen on the special menu and it tasted SO good. One of the best meals I've ever had in San Francisco. We also got the pork buns, oh my god. So incredibly tasty. Very quick service too. And the waiting list to get a seat was much shorter than expected, they got us a table in 10 minutes. Will definitely be going back."
Zeeshan Q.,"Torrance, CA","When you enter this small shopping center you'll notice a small crowd gathered around Marifuku Ramen. Well, I'm here to tell you the hype is for real. Though wait times can be long, and seating can be cramped, the food quality is top tier. ,First off, I was pleasantly surprised that they had a very popular (and delicious) chicken paitan ramen. The chicken itself was very unique in taste, as if it had been steamed. The noodles were nice and soft, and the broth was flavorful. The Karaage was also lightly friend and paired perfectly with the mayo sauce. My friends noted that their pork ramen/chasu were delicious, and a tad bit sweet. I definitely enjoyed my visit, probably the best meal I had in San Francisco, and look forward to visiting again when I'm in the area."
Jay A.,"San Francisco, CA","I'm really disappointed with my order to go with them.,An hour ago I ordered 2 tonkotsu dx to go, and since I am a loyal Marufuku goer, I knew about how big the portion is, and since it was too late to dine in, I got my car and went to the store to pick the order myself. ,Got home, opened the containers, and had a really bad surprise when I saw the size of those portions (I even said something about the size of it over the phone, and asked DX because it was hypothetically bigger...) I still cannot describe how frustrated and upset I am.,I'm the type of ramen fan that will yell north south west east how good the place is, share stories, share with friends and family, and do my fan paper... I will keep the same words about Marufuku quality, of course, but size-wise, I will surely add that: IF YOU WANT TO HAVE THE REAL EXPERIENCE WHEN IT COMES FOR THE PORTION, DO NOT ASK YOUR ORDER TO GO, GO THERE FOR DINE IN! Otherwise, you will pay for a dish, and get a mini version of it.,I should add a note in here that I paid 50$ for 2 baby ramens + extra noodles, plus, my girlfriend who never finishes a plate, miraculously finished  It was probably a miracle or so lol"
Nuno S.,"San Francisco, CA","To start let me say that I'm a big fan of Marufuku food. Something really sad happened though that I found very hard for me to ever forget. ,Two visitors from abroad and they wanted to try ramen. So I decided to take them to one of the places I like the most in the city for ramen - Marufuku. ,One of the visitors with me is a recovering cancer patient on crutches with limited resistance. ,We went there and there was a 60 min wait. We patiently waited outside for our turn. Our visitor after a while started struggling to wait in the hardwood benches. I went to the restaurant, explained the situation and asked if at least they could lend us a padded chair for her to wait. The answer was NO! There was absolutely no understanding or willingness to attend to the specific circumstance. ,While the situation was getting more difficult for her, we still kept waiting until we were already way past the 60 mins that were initially mentioned. I went again to the restaurant / manager and they kept an absolute inflexible position about it... to the point that my visitor recovering from her condition was about to leave because she just couldn't handle the wait without a proper seat anymore. It was already past some 80 mins and me going various times to check how much longer so they could still try my favorite ramen place that they finally, with very resistance, gave us a place to seat... ,The food was still good. The experience was ruined... my respect for this organization and their manager absolutely crushed.  ,If you have another Ramen Place that has amazing food AND EMPATHY and some level of HUMANITY please pvt message me!,This is currently my favorite ramen place in town. Their ramen is really good and the chicken Kaarage is also very good. ,I always get the special ramen bowl with an extra of the tasty chicken. ,Thing to bear in mind is their lines are ridiculously long!!! They are supposed to have Yelp Wait service in which you should be able to get your name on line through the app but it never works for me. ,If you don't mind the wait it's totally worth it!"
Spencer Q.,"San Francisco, CA","Food: 3/5,Service: 4/5,Ambiance: 3.5/5,Overall: A bit of a wait for this place.  I felt like the Oakland location was better., ,The extended review..., ,Food:,Chicken Karaage - 3/5 - Some decent fried chicken.  Pretty standard fare.,Hakata Tonkatsu Dx - 3/5 - I would go for the Chicken Paidan instead.  The pork belly was definitely nice and tender but pretty standard fare compared to other places., ,Service: 4/5 - Friendly and attentive service., ,Ambiance:  4/5 - The ambiance was nice but it was very tight for seating."
Da A.,"San Francisco, CA","Hands down the most iconic ramen in SF! Located in the heart of Japantown (heck it might even be the heart of Japantown), this bustling restaurant deserves all the buzz.,The Hakata Tonkotsu is the star. The soup is rich and flavorful, the medium-thick semi-curly noodles are an amazing texture, and the egg is cooked perfectly. The only component which is a little underwhelming is the default chashu pork that comes with it.,During busy times, you can join the yelp waitlist and explore Japantown while you wait. Takeout is a good option to avoid the long line, but it definitely compromises the overall experience and taste"
Nette T.,"San Francisco, CA","I haven't been to Marufuku in a minute so it was good to be back again and update my review. This time I took SO. He normally hates waiting but saw Club Mari next door (that's for another review). I put in my name on the yelp waitlist and instead of being seated in 55 minutes as it stated we were seated in 30. ,I was glad that I came with SO because he was hungry which meant that I could order more food. We ordered:,Chicken Karaage: Fried chicken was crunchy and juicy on the inside. Very tasty. ,Pan Fried Pot Stickers: These were also very good and the bottom of the pot sticker was crunchy.,Marufuku Bites (steamed buns filled with homemade pork chashu): The bun came with chopped up chasu, green onions and Kewpie mayo. It was actually pretty filling and I only ate half because I was waiting for my ramen and didn't want to spoil my appetite.,Hakata Tonkotsu DX (chashu pork, seasoned soft boiled egg, green onions, kikurage mushrooms, bean sprouts, braised thick pork belly, corn, and nori seaweed): He ordered Mild spicy, I ordered Medium spicy. Ramen came in a short amount of time and I dug in. The soup had depth and was flavorful.  Hakata style noodles were cooked al dente, and the toppings of pork and veggies were great went well together in texture and taste. It's just as good as I remembered. ,Service was on point so no complaints there. This is on definite rotation when I'm in the mood for ramen.,I wanted to try Marufuku Ramen from all the great reviews, and it did not disappoint. I put my name down and we ended up waiting 30 minutes which isn't too bad because we were able to walk around and look at the various shops around the restaurant.,We ordered the Tonkotsu Ramen.  The ramen came in less then 5 minutes and I took a sip of the soup and immediately knew that this was good ramen. The soup had the depth and complexity of it being cooked for many hours.  The noodles were chewy and on the thin side but that is expected of Hakata style ramen.,I'd recommend going there when it first opens to get the first seating. But if not, waiting 30 minutes or more at a mall that has lots of shops to pass the time isn't so bad."
Tri D.,"Houston, TX","This is a solid spot for a bowl of ramen. The wait time can be a bit long (30 mins to an hour & 15 mins) but they have an iPad in the front entrance where you can sign up on their waiting list. Since Marufuku is inside the mall, you can wander around and check out some spots while you're killing time. I'll mention that parking isn't the best but you can park around the corner & pay the meter or your other option is the garage parking. ,Let's move on to the food, I decided to order the Gyoza which comes with 7 pieces ($7). & The Hakata Tonkotsu (spicy). The gyoza was decent, it was moist on the inside & lightly fried on the outside. It was a little undercooked on the outside, because I can taste that gummy consistency. The Tonkotsu was worth the wait, it was creamy, rich, aromatic, good amount of spice & wasn't too salty. The noodles could've been firmer but it still had a good chew to it. The chashu wasn't that tendered but it was seasoned very nicely. The egg was cooked perfectly, which is runny on the inside. I would've liked it better if they marinated/seasoned the eggs because it just tasted like a regular soft boiled egg to me.,Overall good food, nice & quick service & beautiful decor. They also have the ""DX"" Hakata Tonkotsu which has buta kakuni & that's the better cut of pork belly. ,Tip: they have the Chicken Paitan ""DX"" which has only 15 servings per day, it must be good since that's the amount they sell per day. I'll give it a try when I'm in town again."
Audrey K.,"San Francisco, CA","Definitely my go-to ramen spot in Japan town. I usually get the Tonkotsu DX ultra spicy. The corn, pork belly and chashu are amazing! 10/10,The gyoza are okay. Light crisp, not too big, just ok.."
Angela K.,"San Francisco, CA","One of my favorite ramen places in the city! The noodles are perfect texture and soup base is always on point. The egg was perfectly soft boiled and the tofu was nicely grilled and flavored.,I absolutely loved the spinach noodle, tasted just like normal ramen but definitely felt like a health queen."
Erin L.,"San Francisco, CA","We ordered takeout through Uber eats and the food came quickly and was still warm. ,We ordered the Chicken Paitan, Hakata Tonkotsu DX, and Takoyaki. Everything was absolutely delicious. Many times Chicken Paitan doesn't have much flavor, but I found it had as much flavor as the Tonkotsu broth. I was weary of the Takoyaki as I am not a big fan of Bonita flakes but I would order it again. ,We followed the instructions provided to heat up the broth and it was the perfect temperature. The packaging of the ramen was really ingenious. It ensured all of the components were cooked beautifully once you put everything together. ,Overall, we will definitely be ordering from here again and will  go to the restaurant in the future to get the full experience."
David Z.,"Santa Clara, CA","I'm a ramen expert and Marufuku ramen is one of the best I have ever tried.,The noodle has perfect tenderness, the soup is the best part, and the pork is delicious.  At my age I think the portion size is perfect. :D,we also had the shishito peppers and they were good."
Mariana C.,"Point Loma, San Diego, CA","Good service and amazing food! They have a wait list but not too crazy I had to wait just 30min to get in. Staffs are friendly and so polity. To start I we ordered the fried shishito pepper really interested and my entre was the vegetarian ramen. Broth was on point (mild), perfect egg and delicious noodles, make your stomach calm and happy. Delicious experience!"
Ella C.,"SoMa, San Francisco, CA","My new favorite ramen place in SF!! I ordered the spicy miso ramen and it was amazing. It was the perfect amount of spice. We joined the Yelp waitlist before leaving the house, so we didn't end up having to wait for very long. The staff was very friendly!"
Masayan T.,"San Jose, CA","The great thing about this restaurant is not the ramen's taste, but that the atmosphere, the way the restaurant is built, and the training of the staff are excellent.,I am not saying that the ramen is bad; the ramen itself is very simple and ""OK"". However, judging from the speed at which the store has been opened and the number of fans and reviews, it is not hard to imagine that the management team of this restaurant has been working very hard.,I'd give the ramen a 50, but considering the service and management, I'd give it a 75 in total."
Anya S.,"Ashland, OR",Delicious tonkatsu ramen and fried squid! Portions were fair and the food came out quickly after being seated.
Kelly S.,"San Jose, CA","Yumm!!,We ended our weekend trip (for my bday) at this ramen/udon spot! It was so pretty good!! ,We got: ,- udon ,- creamy salmon udon: taste like pasta. So creamy and it also comes with cheese! It does get sickening half way through tho,- guozo: pretty good! Panned fried 'dumpling',- hot sake: pretty good! Different.. but hits the spot ,I would definitely come back if other places were closed or we were craving udon and we were in the city. Parking is a little hard to find but all is not too bad. ,They're located in a building with other vendors; ramen, ice cream, book store, etc!"
Alondra M.,"GILLEM ENCLAVE, GA","Zero stars. Ordered via Uber eats because I was craving a spicy ramen on a cold day ... I asked for spicy and it was just the normal broth. I added corn and didn't receive it, everything was Luke warm (I usually order ramen on Uber eats from further places and it's never this cold. ,Def won't be ordering from this place again. ,The noodles were also very hard, 20cent ramen noodles taste better than this"
Kamryn W.,"Danville, CA","Warning: do not come here unless you're prepared to have ramen ruined for you because nothing else will ever compare. It is consistently the best ramen I've ever had. ,Cute hidden gem in a shopping mall in Japantown. Expect to wait 1-2 hours for your table. Get there early and get on the waitlist asap, and then wander around the shops as you wait. In my experience the table will be ready much sooner than they say, so don't wander too far. ,I love the tonkotsu ramen and the bourbon aged sake, but really you can't go wrong with anything on the menu!"
